,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TIMM22,0.0230730516712647,0.12692992671066,0.056,0.052,1
DDX10,0.0231844117468208,0.131151712057689,0.047,0.043,1
SPACA9,0.0232199156807149,0.294433138263807,0.011,0.009,1
C1orf56,0.0232223736261294,-0.310548440580585,0.008,0.01,1
TTF1,0.0232357852808907,0.121992591224461,0.053,0.048,1
NACC1,0.0232731415585505,-0.199584830277575,0.02,0.023,1
AF213884.3,0.0233318044458079,0.203693353152633,0.025,0.022,1
THAP5,0.0233352764945245,0.115204266791928,0.048,0.044,1
PAIP1,0.0234717117890477,0.123429699260546,0.067,0.062,1
SCAF1,0.0234885380130702,-0.135702614073058,0.044,0.048,1
AP4S1,0.0234930625811794,-0.230617077841146,0.016,0.019,1
FGFR1,0.0235416232530866,0.298886461493949,0.01,0.008,1
TTL,0.0235483817608932,-0.237616218510857,0.014,0.016,1
MTRES1,0.0235896207708227,0.159474641475059,0.036,0.032,1
AC083862.3,0.0237026987257133,0.30899510691401,0.011,0.009,1
UMPS,0.0237055017130724,0.161617357503906,0.035,0.031,1
ZNF33B,0.0237306404602332,0.135024192598112,0.054,0.05,1
ATE1,0.0237388770983998,0.11295191745327,0.071,0.066,1
ARSG,0.0240060993148721,0.13012784419305,0.043,0.039,1
SLC9A1,0.0240239730013407,0.155079318551523,0.037,0.033,1
GDPD5,0.0240698830576863,-0.15481239980945,0.024,0.027,1
ZNF654,0.024124646292382,0.146831706842996,0.044,0.04,1
BICRAL,0.0241455941468876,0.139186465364362,0.048,0.044,1
HDDC3,0.0241593269665399,-0.125379212872135,0.054,0.058,1
SIRT5,0.0241722505435126,-0.176759344883707,0.025,0.028,1
PPTC7,0.0241828830663444,-0.120604361015037,0.049,0.054,1
