group,names,scores,logfoldchanges,pvals,pvals_adj
15,ATP5F1A,13.6166115,3.5436306,3.19031326738856e-42,5.07870720565983e-40
15,MT-ND5,13.613733,2.2480109,3.318479112495155e-42,5.24553395486382e-40
15,NDUFC2,13.598967,3.7067184,4.061330111979384e-42,6.374868230313933e-40
15,NDUFB9,13.5975275,3.4601483,4.1420052951021483e-42,6.4563507537404736e-40
15,LMNB1,13.588314,5.9569807,4.697773781895976e-42,7.272153814374971e-40
15,RPLP1,13.581048,1.932731,5.187875605818547e-42,7.97582574302761e-40
15,CAP1,13.578045,3.4195395,5.4049764472452234e-42,8.253068118018115e-40
15,SET,13.5738125,3.7317588,5.72643331235318e-42,8.684832576289154e-40
15,HNRNPU,13.538651,3.253175,9.247069507956654e-42,1.3904689400145412e-39
15,MSN,13.538295,3.1408167,9.292093958931711e-42,1.3904689400145412e-39
15,ARPC5,13.536735,3.771068,9.491530979769656e-42,1.4109066514696008e-39
15,C17orf49,13.52953,3.8896496,1.0469187903811474e-41,1.5459959979536337e-39
15,RPS2,13.52743,2.4456987,1.0772435476083076e-41,1.5803796516088937e-39
15,S100A10,13.522651,3.5788274,1.1495810758338724e-41,1.6755517420887727e-39
15,SIVA1,13.513547,3.8898501,1.3009883856065845e-41,1.883999051827445e-39
15,PSMA4,13.512518,4.349839,1.3193003313532946e-41,1.8936846211838535e-39
15,RPL35,13.512226,2.1263974,1.3245499667017064e-41,1.8936846211838535e-39
15,NUDT21,13.504638,4.233194,1.4683506213884515e-41,2.0859872182079228e-39
15,SNRPE,13.495542,4.0857444,1.661299771878018e-41,2.3452537534323264e-39
15,PSMB3,13.492186,3.8743834,1.7386867054424322e-41,2.439160111897552e-39
15,CAPZB,13.480911,3.4294105,2.025903325103392e-41,2.824436399706257e-39
15,SLC9A3R1,13.478982,3.8093266,2.0795533980813323e-41,2.881336763786024e-39
15,RAD21,13.47828,3.8688414,2.0994403440446254e-41,2.8910452737684458e-39
15,PSMD8,13.475543,3.8467515,2.1787672365330465e-41,2.981988377513461e-39
15,ELOB,13.469366,2.968919,2.368898645865116e-41,3.222563576065964e-39
15,EIF3K,13.46669,2.529046,2.456326329168884e-41,3.3213675171400465e-39
15,PRDX1,13.465684,4.4589033,2.4900126918158646e-41,3.346755980868197e-39
15,NDUFB1,13.463589,3.3757944,2.561664498226186e-41,3.422566745665772e-39
15,DNMT1,13.461045,4.5503154,2.651393334673318e-41,3.5214896325489524e-39
15,NAP1L1,13.459048,3.3546252,2.7240217300515377e-41,3.596670103102165e-39
15,MT-CO1,13.454945,2.348221,2.879552757461976e-41,3.779791882689562e-39
15,ATP5F1B,13.451832,3.6965375,3.0033945389521724e-41,3.919429873332585e-39
15,TCR-B,13.443192,3.0188756,3.3755845620527213e-41,4.379674628892218e-39
15,HNRNPR,13.441745,3.8077583,3.442223738165926e-41,4.440468622234044e-39
15,COX5B,13.438377,2.9721713,3.602477423794907e-41,4.620640471685742e-39
15,PA2G4,13.435094,3.7483947,3.765898130500584e-41,4.7793444788353014e-39
15,HSPD1,13.435037,4.0608287,3.7687961006586845e-41,4.7793444788353014e-39
15,HSPA8,13.413558,3.068431,5.036344460027464e-41,6.324791370340185e-39
15,PCBP2,13.413447,2.2894306,5.043828099843594e-41,6.324791370340185e-39
15,MCM5,13.410085,5.8448734,5.277874507121476e-41,6.58150951038048e-39
15,NDUFB2,13.403835,3.2511895,5.741723125318776e-41,7.120371119939516e-39
15,MZT2A,13.393624,3.9313366,6.588591162608451e-41,8.078974378557904e-39
15,ATP5F1C,13.393563,3.6974456,6.593982904166878e-41,8.078974378557904e-39
15,HIST1H4C,13.393241,4.771962,6.622700194487457e-41,8.078974378557904e-39
15,SEPTIN7,13.390742,2.9973688,6.849254895368373e-41,8.31018245305073e-39
15,VIM,13.390002,3.566947,6.917863665125727e-41,8.348299345559788e-39
15,LSM3,13.374726,4.0606527,8.496599508870007e-41,1.0198645592304608e-38
15,H2AFY,13.373789,3.8291109,8.604420040772666e-41,1.0273128310382089e-38
15,ABRACL,13.3708315,3.7391024,8.95346236022259e-41,1.0633302441140542e-38
15,ATP5MD,13.367901,3.0264285,9.31325541689145e-41,1.100238584671292e-38
15,EIF4A1,13.365979,3.2471714,9.556842200598041e-41,1.1231040839509092e-38
15,COX4I1,13.357753,2.0859928,1.0673745806366448e-40,1.2478275956755275e-38
15,PSMB10,13.356956,3.3709493,1.0788650664117923e-40,1.2547256622113517e-38
15,HNRNPF,13.354143,4.0742927,1.120401715085383e-40,1.2963163348869333e-38
15,UBE2D2,13.347101,2.888425,1.231489505006606e-40,1.4175391502245271e-38
15,ANXA6,13.335523,3.6419094,1.4384348262653072e-40,1.6473014342015858e-38
15,HNRNPK,13.327763,3.0682766,1.5961242265030208e-40,1.8186093598013609e-38
15,SEM1,13.323435,3.8281462,1.6914208476736348e-40,1.9174561791354752e-38
15,MYL12B,13.3229685,2.973661,1.7020351451232375e-40,1.9197930084138789e-38
15,HMGA1,13.320353,4.4628625,1.7627289135898828e-40,1.9783106597219257e-38
15,HNRNPDL,13.309655,2.418371,2.034192730981112e-40,2.2716164198806985e-38
15,MT-CYB,13.285864,2.1056185,2.7961288932164674e-40,3.1070252048087536e-38
15,WDR1,13.283381,3.88089,2.890423483215965e-40,3.195982537155939e-38
15,PSMA6,13.274456,3.8227053,3.256267302392056e-40,3.582851758308436e-38
15,RHOA,13.271378,2.9130337,3.3928658070678726e-40,3.7149398002656325e-38
15,TALDO1,13.267448,3.7330317,3.5754989229537466e-40,3.8959052827485343e-38
15,COX7C,13.26273,2.3088872,3.807797123319564e-40,4.128976532851736e-38
15,SF3B2,13.258011,3.0523276,4.055097813383451e-40,4.369852099449596e-38
15,MT-ND4L,13.257756,1.9531866,4.0688723549183176e-40,4.369852099449596e-38
15,MRPL51,13.2561655,4.427697,4.156076172853016e-40,4.4422517036123236e-38
15,NDUFB8,13.255236,3.4479873,4.207924927605078e-40,4.476354640996378e-38
15,TMEM258,13.25344,3.0675566,4.309851214034714e-40,4.5631566202935465e-38
15,NUDT1,13.247666,5.05064,4.654544620471448e-40,4.904972232446109e-38
15,RRM2,13.24387,9.8827715,4.895966067741128e-40,5.135273568061559e-38
15,SSRP1,13.2412615,4.5029445,5.068998206367612e-40,5.292034127447787e-38
15,DDX39A,13.240525,3.9854805,5.118952034360833e-40,5.319444322373298e-38
15,SLBP,13.239216,4.756941,5.2089997741717385e-40,5.388074144288425e-38
15,PDCD5,13.230894,4.009679,5.819086184156831e-40,5.991523325210286e-38
15,UQCRH,13.227888,3.0140407,6.0565707444146414e-40,6.207570179412377e-38
15,SKP1,13.210094,2.690451,7.672787544172955e-40,7.828335873477552e-38
15,XRCC6,13.201412,3.363234,8.610500550238749e-40,8.74530748193027e-38
15,PRDX3,13.1896515,5.074992,1.0064890051580153e-39,1.017641991431388e-37
15,MYL12A,13.187594,2.5919926,1.0343350101271582e-39,1.041106889565659e-37
15,PTGES3,13.186702,3.310047,1.046645284870803e-39,1.0487946457236627e-37
15,ANAPC11,13.183407,3.75784,1.0933908641560986e-39,1.090766726082124e-37
15,CDC25B,13.180108,4.0238366,1.1422693522931706e-39,1.1344857469722348e-37
15,RTRAF,13.177056,3.3677752,1.1894241880290739e-39,1.1761152125330658e-37
15,RPS15,13.17616,1.7512225,1.2036295715120418e-39,1.184941638691197e-37
15,POMP,13.175359,3.7216847,1.216472914741302e-39,1.1923559407983959e-37
15,MCM4,13.162619,7.2879786,1.4400639320410847e-39,1.4053771747214865e-37
15,TLE5,13.137301,2.8621514,2.0127667996324016e-39,1.955781973357095e-37
15,HNRNPD,13.130484,3.9213681,2.2024514923310823e-39,2.12193919096615e-37
15,MT-ND6,13.130476,3.0092866,2.2026723313513004e-39,2.12193919096615e-37
15,TXNDC17,13.12455,4.5792274,2.3819282970394803e-39,2.284818912621717e-37
15,PPIB,13.120333,3.2106624,2.518273753643091e-39,2.4053264967775667e-37
15,ATP5PB,13.119649,3.6039994,2.541082919711904e-39,2.416828271858195e-37
15,NDUFB6,13.115447,3.9790225,2.685945372576324e-39,2.543828262989374e-37
15,SRSF7,13.107612,2.9219072,2.978316439553345e-39,2.8088777647989236e-37
15,RPS24,13.103846,1.7451196,3.1298865225723405e-39,2.939474179316266e-37
15,SRSF2,13.095847,3.2828827,3.477737253522419e-39,3.252553766356842e-37
15,RPS17,13.087913,2.7578714,3.860720610665301e-39,3.59575663182545e-37
15,NUCKS1,13.083456,3.8944557,4.0939515795802335e-39,3.797224675837105e-37
15,ANXA2,13.081334,4.2128644,4.209875827783096e-39,3.888677894255941e-37
15,MT2A,13.0683775,4.2947817,4.991907361915132e-39,4.592145600227338e-37
15,RPL15,13.06782,1.9713366,5.028656780996027e-39,4.607070616581095e-37
15,NDUFS6,13.062858,3.7529807,5.367458083528765e-39,4.8974782171905146e-37
15,PSMC5,13.058553,3.666735,5.6797419157623544e-39,5.161436722315862e-37
15,ATP5PD,13.056951,3.169057,5.800509583965457e-39,5.2499289565197035e-37
15,ATP5PO,13.055459,2.9181826,5.91527259341343e-39,5.332297535411962e-37
15,ARPC4,13.048383,3.353394,6.491096288348449e-39,5.827965891530771e-37
15,GUK1,13.045577,2.8580313,6.734518260361028e-39,6.022430154265483e-37
15,ALDOA,13.043854,3.0785556,6.888541412551841e-39,6.13572224389439e-37
15,CDC42,13.028452,2.5915887,8.430040498007292e-39,7.479078617322991e-37
15,PTPRCAP,13.027427,2.7427843,8.544029975886572e-39,7.550366017273623e-37
15,ATP5MPL,13.0262575,3.0270545,8.675934547228036e-39,7.636863797924726e-37
15,NDUFA6,13.025389,3.717813,8.775316869664361e-39,7.694170408456494e-37
15,HLA-A,13.019463,2.1490974,9.483587831709073e-39,8.282825387958828e-37
15,PDIA6,13.012398,4.0032635,1.04025840072202e-38,9.050248086281574e-37
